epoch,timestamp,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
-1,,,,,0.01798690622082994,0.09196993670886075,0.5102848101265822
0,3.5220844745635986,0.017865586966307932,0.29610874200426446,0.777352078891258,0.01767723519307904,0.5857397151898733,0.8753955696202528
1,7.246174335479736,0.016915107207464145,0.6153718017057566,0.8952891791044784,0.014843437160494962,0.7072784810126581,0.9434335443037973
2,10.88405466079712,0.007911058588584922,0.7988073027718554,0.984075159914712,0.0035546828441534047,0.8661985759493672,0.9815071202531646
3,14.640383958816528,0.0030814148723952045,0.8866771055437099,0.9921708422174843,0.002472573280838448,0.8965585443037977,0.9840783227848102
4,18.273209810256958,0.0024491993542601763,0.9068829957356074,0.9943363539445631,0.0020794496128093928,0.9096123417721519,0.9854628164556962
5,21.820524215698242,0.0021120307675159687,0.9190265191897659,0.9956856343283589,0.0017957731658118318,0.9210838607594938,0.9861550632911391
6,25.370713710784912,0.001868495871293059,0.9284381663113006,0.9965351812366741,0.001601847618928067,0.928006329113924,0.9866495253164556
7,28.9234836101532,0.0016766611964745646,0.9359841417910446,0.9971848347547979,0.0014356865928526026,0.9336431962025316,0.986946202531646
8,32.475576400756836,0.0015200071800341283,0.9416144722814492,0.997667910447761,0.0013117977265855066,0.9383900316455696,0.9871439873417719
9,36.22174906730652,0.0013862384544280396,0.9464952025586356,0.9979677505330493,0.0012089242584726334,0.9444224683544303,0.9872428797468358
